"SongName","ArtistName","AlbumName"
"Sour Suite","The Guess Who","Running Back Thru Canada"
"No Time","Guess Who","The Greatest Of The Guess Who"
"What About Me?","Quicksilver Messenger Service","Positively '60s (Disc 1)"
"(We Ain't Got) Nothin' Yet","The Blues Magoos","Nuggets: Original Artyfacts From the First Psychedelic Era, 1965-1968 (disc 2)"
"We Ain't Got Nothin' Yet","The Blues Magoos","Nuggets: Original Artyfacts From The First Psychedelic Era, Vol. 2"
"Outshined","Soundgarden","Badmotorfinger"
"Scentless Apprentice","Nirvana","In Utero"
"Plush","Stone Temple Pilots","Core"
"I Like","Men Without Hats","Greatest Hats"
"Echo Beach","Martha and the Muffins","Women & Songs The 80s"
"Fooled Around and Fell in Love","Elvin Bishop","Ace in the Hole"
"Don’t Take Me Alive","Steely Dan","The Royal Scam"
"Country House","Blur","The Great Escape"
