"SongName","ArtistName","AlbumName"
"I Want'a Do Something Freaky To You","Leon Haywood","Starsky & Hutch"
"The Hazards of Sitting Beneath Palm Trees","Hayden","The Closer I Get"
"Down on the Farm","The Doors","Other Voices"
"Lay Lady Lay (alternate version)","The Byrds","Play the Songs of Bob Dylan"
"Let The Wind Blow","The Beach Boys","The Beach Boys"
"Working Man","Rush","Rush"
"When I Grow Up (To Be a Man)","The Beach Boys","Made in U.S.A."
"Street Carp","Deftones","White Pony"
"Agua de Beber","Frank Sinatra","Sinatra & Company"
"Get Off of My Cloud","The Rolling Stones","Rolled Gold"
"Down by the Seaside","Led Zeppelin","Golden Ballads"
"Street Fighting Man","The Rolling Stones","Get Your Leeds Lungs Out!"
"Wheel in the Sky","Journey","Greatest Hits"
"Radio Spot: Sweetheart of the Rodeo Album","The Byrds","Sweetheart of the Rodeo"
"Along Came Jones","The Coasters","The Ultimate Coasters"
"Bron Y Aur","Led Zeppelin","Physical Graffiti II"
"Please","Nine Inch Nails","The Fragile"
"Im Afraid Of Americans V1","David Bowie","I’m Afraid of Americans"
"2-4-2 Fox Trot (The Lear Jet Song)","The Byrds","Fifth Dimension"
"Lazy Days","The Byrds","Sweetheart of the Rodeo"
"You Ain't Goin' Nowhere","Gram Parsons","Sweetheart of the Rodeo"
"When You're Gone","Bryan Adams","Bryan Adams"
"Seger,B-Greatest..-06-Still The Same","Seger, Bob","Greatest Hits"
"So You Want to Be a Rock 'N' Roll Star [Live]","The Byrds","Untitled/Unissued Disc 1"
"Sister Golden Hair","America","Classic Rock 70's Disc 1"
"Be Quiet and Drive (Far Away)","Deftones","Around the Fur"
"When The Levy Breaks","Led Zeppelin","[Led Zeppelin IV]"
"In the Mood","Rush","Rush"
"Witch Hunt","Rush","Moving Pictures"
"Turn of the Century","Bee Gees","Bee Gees' 1st"
"Red Chair, Fade Away","Bee Gees","Bee Gees' 1st"
"Cucumber Castle","Bee Gees","Bee Gees' 1st"
