"SongName","ArtistName","AlbumName"
"The Sodom and Gomorrah Show","Pet Shop Boys","Fundamental"
"Lunch Break: Peak Hour","The Moody Blues","Days of Future Passed"
"I Should Have Known Better","The Beach Boys","Beach Boys' Party!"
"Ball Crusher","Steppenwolf","Steppenwolf 7"
"Beside You in Time","Nine Inch Nails","With Teeth"
"The Lamia","Genesis","The Lamb Lies Down on Broadway"
"Opportunities (Let's Make Lots of Money)","Pet Shop Boys","PopArt: The Hits"
"Heartbeat","Buddy Holly","Buddy Holly: Collection"
"Can't Stop Lovin' You","Van Halen","Best Of, Volume 1"
"Stay Forever","Ween","All Request Live"
"Peter Gabriel - Sledgehammer","Various","Music of the millenium - CD 1"
"Peter Gabriel - Big Time","The Unknown","Unknown"
"Baby Now That Ive Found You","The Foundations","Unknown Album"
"Anytime","My Morning Jacket","Z"
"BOB","OutKast","Stankonia"
"Midnight Blue","Lou Gramm","Ready or Not"
"Kid Charlemagne","Steely Dan","The Royal Scam"
"Sign in Stranger","Steely Dan","The Royal Scam"
"When I Was Young","The Animals","Best of the Animals"
"We Gotta Get Out of This Place","The Animals","Best of the Animals"
"San Franciscan Nights","The Animals","Best of the Animals"
"Scandinavian Dreams","The Animals","Best of the Animals"
"Time Table","Genesis","Foxtrot"
"Rock Me Baby","The Animals","Animalism"
"This Could Be the Night","Phil Spector","Back to Mono (1958-1969)"
"Carolina Hard-Core Ecstasy","Frank Zappa & Captain Beefheart","Bongo Fury"
"Holy Man (Instrumental)","Dennis Wilson","Pacific Ocean Blue"
"My Back Pages","Bob Dylan","Bob Dylan: The 30th Anniversary Concert Celebration"
"Over under sideways down","Eric Clapton & The Yardbirds",""
"Northern Touch","Rascalz Feat. Kardinal Offishall, Thrust & Choclair","Oh What A Feeling²: A Vital Collection Of Canadian Music"
"Deja Vu (Uptown Baby)","Lord Tariq and Peter Gunz","Deja Vu"
"Big Bang Baby","Stone Temple Pilots","Tiny Music... Songs From the Vatican Gift Shop"
"Sex Type Thing","Stone Temple Pilots","Core"
"Sin","Stone Temple Pilots","Core"
"Mama Told Me Not To Come","The Animals","Inside Looking Out  - The 1965-1966 Sessions"
"CC Rider","The Animals","Best of the Animals"
