"SongName","ArtistName","AlbumName"
"Wot","Captain Sensible","Women and Captains First"
"Empty Cell","Rusty","Sophomoric"
"You Got Me Rockin'","The Rolling Stones","Greatest Hits 3"
"Swimming Pools (Drank)","Kendrick Lamar","Swimming Pools (Drank)"
"The Recipe (Feat. Dr. Dre)","Kendrick Lamar","good kid, m.A.A.d city"
"Ruby","Kaiser Chiefs","Yours Truly, Angry Mob"
"Mutilated Lips","Ween","The Mollusk"
"Peace Frog","The Doors","Legacy: The Absolute Best"
"What Would I Do","Monotones","Beat, Beat, Beat Vol. 2 - More Mop Top Rarities (Disc 1)"
"Shooting Star [From Straight Shooter]","Bad Company","10 From 6"
"It's Never Too Late","Steppenwolf","16 Greatest Hits"
"Drop Dead Legs","Van Halen","1984 (Remastered)"
"All Day Sucker","Stevie Wonder","Songs in the Key of Life"
"People Say","The Meters","Rejuvenation"
"wear your love like heaven","Donovan","Mellow Yellow + Wear Your Love Like Heaven"
"Mess Around","Ray Charles","Ray Charles"
"Rush Rush","Harry, Deborah","Scarface"
"Hocus Pocus","Focus","Hocus Pocus"
"Back Door Man","Howlin' Wolf","His Best: Chess 50th Anniversary Collection"
"Crystal Ship","The Doors","Best Of The Doors (Disc 1)"
"Sky Pilot","The Animals","Retrospective"
"It's My Life","The Animals","The Complete Animals"
"Bring the Light","Beady Eye","Bring the Light"
"The Fez","Steely Dan","The Royal Scam"
"Itchycoo Park","Small Faces","There Are But Four Small Faces"
"Hole in My Shoe","Traffic","Feelin' Alright: The Very Best of Traffic"
"Alice in Blunderland","Captain Beefheart","The Spotlight Kid"
"Hot Smoke & Sassafras","Bubble Puppy","Best of 60's Psychedelic Rock"
"Rainy Day Mushroom Pillow","Strawberry Alarm Clock","Incense & Peppermints"
"I Wanna Be Your Dog","The Stooges","The Runaways"
