"SongName","ArtistName","AlbumName"
"Some Velvet Morning","Lee Hazlewood","Softcore Jukebox"
"One in a Hundred","Gene Clark","Roadmaster"
"(Oh Dear) Miss Morse","Pearls Before Swine","One Nation Underground"
"Why","Andy Gibb","Shadow Dancing"
"Toulouse Street","The Doobie Brothers","Toulouse Street"
"Suite Madame Blue","Styx","Greatest Hits"
"Colour My World","Chicago","Chicago II (disc 1)"
"Edison","Bee Gees","Odessa"
"Only a Fool Would Say That","Steely Dan","Can’t Buy a Thrill"
"Ebony Eyes","Bob Welch","The Best of Bob Welch"
"Play With Fire","The Rolling Stones","Out of Our Heads"
"P.E. Squad/DooDoo Chasers (\"Going All-The-Way Off\" instrumental)","Funkadelic","One Nation Under a Groove"
"Poison (Alice Cooper)","Superhits","Of the 80`s"
"Might as Well Be on Mars","Alice Cooper","\"Hey Stoopid\" By Noxos"
"Rock and Roll Fantasy","Bad Company","The 'Original' Bad Co. Anthology"
"Hair Of The Dog","Nazareth","Lords Of Dogtown"
"Razamanaz","Nazareth","The Very Best Of"
"Cucumber Castle","Bee Gees","BBC Sessions 1967-1973"
"Nothing to Say","Soundgarden","A-Sides"
"Whistle","Flo Rida","Nederlandse Top 40 week 27 2012"
"Ween / Gabrielle","Triple J","Hottest 100 Volume 13 Disc 1"
"Bravery / An Honest Mistake","Triple J","Hottest 100 Volume 13 Disc 2"
"Lithium ","Nirvana","Bleach"
"Talybont","Gentle Giant","Free Hand [2010 Remaster]"
"Carolina Hard-Core Ecstasy","Frank Zappa & Captain Beefheart","Bongo Fury"
"Primitive Ways","Death","Leprosy"
"Walk On The Ocean","Toad The Wet Sprocket/Toad The Wet Sprocket","P.S. (Toad Retrospective)"
"Way cool junior","Ratt","Unknown Album"
"A Song For Rosie","Matt Berry","Witchazel Final"
"Nevertheless","BJM","Tepid Peppermint Wonderland: A Retrospective"
"Rock & Roll","The Velvet Underground","Loaded"
"Happy","The Rolling Stones","Exile on Main St."
"Children of the Revolution","T. Rex","The Essential Collection"
"On The Wings Of Love","Jeffrey Osborne","Cruisin' Love Songs"
"Gypsy Road","Cinderella","Long Cold Winter"
"I Knew I’d Want You","The Byrds","Mr. Tambourine Man"
"It's No Use [Alternate Version]","The Byrds","Mr. Tambourine Man"
"Flying Teapot","Gong","Flying Teapot: Radio Gnome Invisible, Part 1"
"Proclamation","Gentle Giant","The Power and the Glory"
"Jump on It","Sir Mix-A-Lot","Return of the Bumpasaurus"
"Carz","Sir Mix-A-Lot","Single"
"Wild Child","The Doors","Apocalypse Now"
"Brokedown Palace","Grateful Dead","American Beauty"
"Does Anybody Really Know What Time It Is?","Chicago","If You Leave Me Now"
"Listen To The Music","The Doobie Brothers","Greatest Hits"
"Funk 50","Joe Walsh","Analog Man"
"Surrender","Cheap Trick","The Greatest Hits"
"Young Love","The Amboy Dukes","The Amboy Dukes"
"It's All Right","Joe Walsh","Songs for a Dying Planet"
