"SongName","ArtistName","AlbumName"
"Tears Are Falling","KISS","Asylum"
"Down Boys","Warrant","Dirty Rotten Filthy Stinking Rich"
"Headphones","Mounties","Headphones"
"Shut Up","R. Kelly","Black Panties"
"Spellbound","Triumph","Thunder Seven"
"Love for Sale","Cannonball Adderley","Somethin’ Else"
"Nights on Broadway","Bee Gees","Main Course"
"Underwhelmed","Sloan","Smeared"
"I Sat By the Ocean","Queens of The Stone Age","Like Clockwork"
"Let's Live for Today","The Grass Roots","All Time Greatest Hits"
