"SongName","ArtistName","AlbumName"
"Fun House (take 3)","The Stooges","Fun House"
"Wait","White Lion","Pride"
"Castle In The Clouds","Gong","Angel's Egg (Radio Gnome Invisible, Pt. 2)"
"Seven & Seven Is","Love","Da Capo"
"I Had Too Much to Dream (Last Night)","The Electric Prunes","I Had Too Much to Dream (Last Night)"
"Poor House","Traveling Wilburys","Traveling Wilburys, Volume 1 & 3"
"Cuckoo Cocoon","Genesis","The Lamb Lies Down on Broadway"
"Cygnus X-1 Book I: The Voyage","Rush","A Farewell to Kings"
"Counting Out Time","Genesis","The Lamb Lies Down on Broadway"
"Peaches en Regalia","Frank Zappa","Hot Rats"
"Still You Turn Me On","Emerson, Lake & Palmer","The Best of Emerson Lake and Palmer"
"You Keep Me Hangin' On","Vanilla Fudge","Psychedelic Sundae: The Best of Vanilla Fudge"
"Zobeida","Banco del Mutuo Soccorso","Garofano rosso"
"Mike Mills","Air","Talkie Walkie"
"Back to School (Mini Maggit)","Deftones","White Pony"
"Just Do It","James Brown","Living in America"
"Show Me","James Brown","Living in America"
"Take a Pebble","Emerson, Lake & Palmer","The Show That Never Ends"
"Take A Pebble","Emerson, Lake & Palmer","Emerson, Lake & Palmer"
"Korea","Deftones","White Pony"
"Baby Now That Ive Found You","The Foundations","Top 2000 (Radio 2)"
"A White Sport Coat (And a Pink Carnation)","Marty Robbins","Country USA: 1957"
"Ride Captain Ride","Blues Image","Open"
"Beyond Beautiful","Aerosmith","Rockin' the Joint"
"Something for Nothing","Rush","2112"
"Tarkus","Emerson, Lake & Palmer","Best of Emerson, Lake and Palmer [Rhino], The"
"Winning","Santana","Aniversario"
"Dear Mr. Fantasy, Part One","The Jimi Hendrix Experience","Paris 1967 / San Francisco 1968"
"Another Day","Dream Theater","Images and Words"
"Too Cool Queenie","Stone Temple Pilots","Shangri-La Dee Da"
"Diddy Wah Diddy","Captain Beefheart & His Magic Band","Nuggets: Original Artyfacts From the First Psychedelic Era, 1965-1968 (disc 2)"
"Yellow Brick Road","Captain Beefheart & His Magic Band","Safe as Milk"
"From the Beginning","Emerson, Lake & Palmer","Trilogy"
"Trilogy (LP Version)","Emerson, Lake & Palmer","Trilogy"
"Hardcore Days & Softcore Nights","Aqueduct","I Sold Gold"
"Be Near Me","Abc","How To Be A Zillionaire"
"Scottish Tea","The Amboy Dukes","Journey to the Center of the Mind"
"Hold On","Yes","90125"
"Shake Everything You've Got","Maceo Parker","Life on Planet Groove"
"Riverbottom","Texas Hippie Coalition","Pride of Texas"
"Fun Rap (Poem)","The Doors","Liquid Night"
"Fairy Tale Music","The Beach Boys","Good Vibrations: Thirty Years of the Beach Boys"
"Fast Train","April Wine","The Hits"
"You're Still a Mystery","Brian Wilson","Landylocked"
