"SongName","ArtistName","AlbumName"
"Happy Days","Brian Wilson","Imagination"
"Must Be a Miracle","Brian Wilson","Landylocked"
"Not So Sweet Martha Lorraine","Country Joe and the Fish","Electric Music for Mind and Body"
"01-Gravity Lane","Béla Fleck and The Flecktones","Rocket Science"
"Just Enough Room For Storage","James Brown","Sho Is Funky Down Here"
"It Keeps You Runnin'","The Doobie Brothers","Takin' It to the Streets"
"Peggy Sue","Buddy Holly","20 Golden Greats"
"Hey Lawdy Mama","Steppenwolf","16 Greatest Hits"
"Some Velvet Morning","Vanilla Fudge","Near the Beginning"
"I Like","Men Without Hats","My Hats Collection"
"Understanding","Small Faces","The Definitive Anthology of the Small Faces"
"Stay Forever","Ween","White Pepper"
"Misunderstanding","Genesis","Turn It On Again: The Hits: The Tour Edition"
"Hold Your Head Up","Steppenwolf","Wolftracks"
"Candle of Life","The Moody Blues","Time Traveller"
"Not So Sweet Martha Lorraine","Country Joe and the Fish","Electric Music for Mind and Body"
"River Song","Dennis Wilson","Pacific Ocean Blue"
"Never Learn Not to Love","The Beach Boys","Pet Sounds"
"Mystify","INXS","Greatest Hits"
"Lovely to See You","The Moody Blues","On the Threshold of a Dream"
"A Warm Place","Nine Inch Nails","The Downward Spiral"
"Albatross (Album Version)","Big Wreck","MMS Canada Hott Rocks 192"
"King of the World","Steely Dan","Countdown to Ecstasy"
