"SongName","ArtistName","AlbumName"
"Tears Are Falling","KISS","Asylum"
"Down Boys","Warrant","Dirty Rotten Filthy Stinking Rich"
"Headphones","Mounties","Headphones"
"Shut Up","R. Kelly","Black Panties"
"Cookies","R. Kelly","Black Panties"
"Spellbound","Triumph","Thunder Seven"
"Love for Sale","Cannonball Adderley","Somethin’ Else"
"Nights on Broadway","Bee Gees","Main Course"
"Underwhelmed","Sloan","Smeared"
"I Sat By the Ocean","Queens of The Stone Age","Like Clockwork"
"Let's Live for Today","The Grass Roots","All Time Greatest Hits"
"Sex And Religion","Steve Vai","Sex & Religion"
"Natural Thing","Journey","Departure"
"First of May","Bee Gees","Odessa"
"Night Fever","Bee Gees","Saturday Night Fever"
"Everyone's a Winner","Bootsauce","The Brown Album"
"Shakin'","Eddie Money","Greatest Hits: Sound of Money"
"Didn't Want to Have to Do It","The Lovin' Spoonful","Daydream"
"Walk on Water","Eddie Money","Greatest Hits: Sound of Money"
"Take Me To The Kaptin","Prism","Prism"
"Glide","Stone Temple Pilots","1999 - No. 4"
"Gimme Some Water","Eddie Money","The Essential Eddie Money"
"Lemons Never Forget","Bee Gees","The Studio Albums 1967-1968: Horizontal"
"Lucky Man","Emerson, Lake & Palmer","Emerson, Lake & Palmer"
"Blood on the Valley Floor","Soundgarden","King Animal"
"02- Heaven And Hot Rods       ","Stone Temple Pilots","No. 4"
"Head Over Heels","Tears for Fears","Songs From the Big Chair"
"Monday, Monday","Neil Diamond","The Feel of Neil Diamond"
"Someday","Glass Tiger","The Thin Red Line"
"Oh Yeah","Roxy Music","Flesh + Blood"
"TSUGIHAGI BOOGIE WOOGIE '97","Ulfuls","Let's Go"
"Holy Man (Instrumental)","Dennis Wilson","Pacific Ocean Blue (Disc 1)"
"Stuck on You","Lionel Richie","The Definitive Collection"
"Thin Red Line","Glass Tiger","The Thin Red Line"
"My Maria","Brooks & Dunn","My Maria"
"Xanadu","Rush","A Farewell to Kings"
"Midnight","Ice-T","OG: Original Gangster"
"You'll Never See My Face Again [Alternate Mix][#]","Bee Gees","Odessa"
"Melody Day","Caribou","Melody Day"
"Black Water","The Doobie Brothers","Very Best Of"
"You're The Best Around","Joe Esposito","The Karate Kid"
"Wild Situation","Dennis Wilson","Pacific Ocean Blue (Legacy Edition)"
"Constant Companion","Dennis Wilson","Pacific Ocean Blue (Legacy Edition)"
"Loving You Sunday Morning","Scorpions","Best of Scorpions"
"Wonderful Christmas Time","Family Force 5","The Family Force 5 Christmas Pageant"
"Feel It All Around","Washed Out","Life of Leisure"
"Turn Up The Radio - Autograph","GTA Vice City","V-Rock"
"Ogden's Nut Gone Flake - Original","Small Faces","Ogdens' Nut Gone Flake"
"Fallen Angel","Matt Berry","Kill The Wolf"
"Solstice","Matt Berry","Kill The Wolf"
"Suicide & Redemption","Metallica","Death Magnetic"
"Something About You","Level 42","The Collection"
"Let Go the Line","Kim Mitchell/Max Webster","The Best Of Max Webster"
"Magic Power","Triumph","Classics"
"Atlanta","Stone Temple Pilots","No. 4"
"Assult And Battery","Hawkwind","Warrior on the Edge of Time"
"Music Sounds Better With You","Stardust","Ministry of Sound Anthems II"
"Born to Be Alive","Patrick Hernandez","Born to Be Alive"
"Shifting Gears - Johnny Hammond","Various Artists","Pulp Fusion, Vol. 1: Funky Jazz Classics & Original Breaks from the Tough Side"
"Opium","Matt Berry","Opium"
"Dark Beach","Matt Berry","Summer Sun EP"
"Hero of the Day","Metallica","Load"
"Year of the Cat","Al Stewart","The best of 50-60-70-80-90"
"Whiskey in the Jar","Metallica","Garage Inc."
"I Got You (LP Version)","Stone Temple Pilots","No. 4"
"Sappy","Nirvana","In Utero Demos"
"Trippin' on a Hole in a Paper Heart","Stone Temple Pilots","Trippin' on a Hole in a Paper Heart"
"I Am","Stone Temple Pilots","Stone Temple Pilots"
"Turn Up The Radio - Autograph","GTA Vice City","V-Rock"
"Ogden's Nut Gone Flake - Original","Small Faces","Ogdens' Nut Gone Flake"
"Fallen Angel","Matt Berry","Kill The Wolf"
"Solstice","Matt Berry","Kill The Wolf"
"Suicide & Redemption","Metallica","Death Magnetic"
"Something About You","Level 42","The Collection"
"Let Go the Line","Kim Mitchell/Max Webster","The Best Of Max Webster"
"Magic Power","Triumph","Classics"
"Atlanta","Stone Temple Pilots","No. 4"
"Assult And Battery","Hawkwind","Warrior on the Edge of Time"
"Music Sounds Better With You","Stardust","Ministry of Sound Anthems II"
"Born to Be Alive","Patrick Hernandez","Born to Be Alive"
"Shifting Gears - Johnny Hammond","Various Artists","Pulp Fusion, Vol. 1: Funky Jazz Classics & Original Breaks from the Tough Side"
"Opium","Matt Berry","Opium"
"Dark Beach","Matt Berry","Summer Sun EP"
"Hero of the Day","Metallica","Load"
"Year of the Cat","Al Stewart","The best of 50-60-70-80-90"
"Whiskey in the Jar","Metallica","Garage Inc."
"I Got You (LP Version)","Stone Temple Pilots","No. 4"
"Sappy","Nirvana","In Utero Demos"
"Trippin' on a Hole in a Paper Heart","Stone Temple Pilots","Trippin' on a Hole in a Paper Heart"
"I Am","Stone Temple Pilots","Stone Temple Pilots"
"He Thought of Cars","Blur","The Great Escape"
"Never Before","Deep Purple","Machine Head"
"Things Can Only Get Better","Howard Jones","The Best of Howard Jones"
"Southern Voice","Tim McGraw","Southern Voice"
"Knocking at Your Back Door","Deep Purple","Perfect Strangers"
"Don’t Bring Harry","The Stranglers","The Raven"
"Till Then","13th Floor Elevators","Absolutely the Best"
"Child in Time","Deep Purple","Deep Purple in Rock"
"She's So High (edit)","Blur","She's So High"
"My Michelle","Guns N' Roses","Appetite for Destruction"
"Lovin' Every Minute of It","Loverboy","Lovin' Every Minute of It"
"Anyone's Daughter","Deep Purple","Fireball"
"In Your House","The Cure","Seventeen Seconds"
"The Edge","David McCallum","The Edge: David Axelrod At Capitol Records 1966-1970"
"Alright","Jamiroquai","Travelling Without Moving"
"Tipitina And Me","Allen Toussaint","Our New Orleans"
"4 Billion Souls","The Doors","Full Circle"
"Verdilac","The Doors","Full Circle"
"I Don't Care Anymore","Phil Collins","Hello, I Must Be Going!"
"Just the Thought","Eric Burdon and the Animals","The Twain Shall Meet"
"He Thought of Cars","Blur","The Great Escape"
"Never Before","Deep Purple","Machine Head"
"Things Can Only Get Better","Howard Jones","The Best of Howard Jones"
"Southern Voice","Tim McGraw","Southern Voice"
"Knocking at Your Back Door","Deep Purple","Perfect Strangers"
"Don’t Bring Harry","The Stranglers","The Raven"
"Till Then","13th Floor Elevators","Absolutely the Best"
"Child in Time","Deep Purple","Deep Purple in Rock"
"She's So High (edit)","Blur","She's So High"
"My Michelle","Guns N' Roses","Appetite for Destruction"
"Lovin' Every Minute of It","Loverboy","Lovin' Every Minute of It"
"Anyone's Daughter","Deep Purple","Fireball"
"In Your House","The Cure","Seventeen Seconds"
"The Edge","David McCallum","The Edge: David Axelrod At Capitol Records 1966-1970"
"Alright","Jamiroquai","Travelling Without Moving"
"Tipitina And Me","Allen Toussaint","Our New Orleans"
"4 Billion Souls","The Doors","Full Circle"
"Verdilac","The Doors","Full Circle"
