"SongName","ArtistName","AlbumName"
"I Love","Tom T. Hall","The Ultimate Collection"
"Mudd Club","Frank Zappa","You Are What You Is"
"You Are What You Is","Frank Zappa","You Are What You Is"
"Lake of Fire","Nirvana","MTV Unplugged in New York"
"Fanny (Be Tender With My Love)","Bee Gees","Greatest"
"Missing Sequences","Voivod","Nothingface"
"This Whole World","Brian Wilson","I Just Wasn't Made for These Times"
"Sin","Stone Temple Pilots","Core"
"Equality Street","Brent and Johnson","Gervais"
"Tangiers","Screaming Trees","Tangiers"
"Snowblind Friend","Steppenwolf","16 Greatest Hits"
"Tomorrow","Strawberry Alarm Clock","Anthology"
"Lake of Fire","Meat Puppets","Meat Puppets II"
"Plateau","Meat Puppets","Meat Puppets II"
"Father of Mine","Everclear","So Much for the Afterglow"
"Every Kinda People","Robert Palmer","Double Fun"
"Good Time","The Beach Boys","Landlocked"
"Stay Out of My Dreams","Type O Negative","The Least Worst Of"
"12 Black Rainbows","Type O Negative","Least Worst of Type O Negative"
"It's Never Enough","Type O Negative","The Least Worst Of"
"Tired of Waiting for You","The Kinks","The Ultimate Collection"
"Cherish","The Association","The Association's Greatest Hits"
"Drivers Seat","Sniff 'n' the Tears","Good Clean Fun"
"A Song For Rosie","Matt Berry","Witchazel Final"
"(Oh Dear) Miss Morse","Pearls Before Swine","One Nation Underground"
"Prime Time","Alan Parsons Project","Alan Parsons Project - Greatest Hits"
"Kissing The Lipless","The Shins","Chutes To Narrow-ADVANCE"
"Evil","Interpol","Antics - The Special Edition"
"Slow Hands","Interpol","Antics - The Special Edition"
"Valerie","Steve Winwood","Chronicles"
"Throw Some Ds Ft. Rich Boy","Lil Wayne","Mixtape Don"
"Skin o' My Teeth","Megadeth","Greatest Hits: Back to the Start"
"Superunknown","Soundgarden","Superunknown"
"Acrimony","Kim Mitchell","Greatest Hits"
"The Balance","Steppenwolf","Wolftracks"
"Birds in My Tree","Strawberry Alarm Clock","Incense & Peppermints"
"Out of My Mind (demo)","Buffalo Springfield","Buffalo Springfield Box Set"
